Date,Open,High,Low,Close,Volume
2006-11-09,12174.7,12187,12090.1,12103.3,275384014
2006-11-10,12102.7,12127.1,12074,12108.4,204503740
2006-11-13,12097.7,12164.7,12084.8,12131.9,193994574
2006-11-14,12132.4,12228,12085,12218,255292921
2006-11-15,12214.4,12291.7,12205.8,12251.7,258864005
2006-11-16,12250,12325.9,12250,12305.8,223440270
2006-11-17,12304.6,12342.5,12277.4,12342.5,285098325
2006-11-20,12340.7,12355.2,12302.5,12316.5,228975263
2006-11-21,12312.1,12339.8,12296,12321.6,216640306
2006-11-22,12321.9,12361,12302.8,12327,177833074
2006-11-24,12321.7,12324.1,12258.9,12280.2,77638454
2006-11-27,12279.1,12279.5,12110.8,12121.7,236734578
2006-11-28,12118.9,12149.2,12072.6,12136.5,222717040
2006-11-29,12134.4,12240.7,12134.4,12226.7,219288137
2006-11-30,12226.7,12275.1,12162.5,12221.9,294838523
2006-12-01,12221,12248,12090,12194.1,275454462
2006-12-04,12195.6,12310,12195.6,12283.8,270545665
2006-12-05,12283.7,12335.4,12276.1,12331.6,233260183
2006-12-06,12328.7,12335.5,12294.8,12309.2,220894404
2006-12-07,12310.1,12360.8,12264.5,12278.4,251341610
2006-12-08,12278.4,12332.9,12243.1,12307.5,240810842
2006-12-11,12306.2,12354.6,12297.6,12328.5,213946451
2006-12-12,12328.2,12333.9,12252,12315.6,248106682
2006-12-13,12312.7,12368.6,12301.5,12317.5,213581373
2006-12-14,12317.5,12431.2,12307,12416.8,253806185
2006-12-15,12418,12486.3,12417.9,12445.5,417814350
2006-12-18,12446.2,12490.7,12428.9,12441.3,237283682
2006-12-19,12439.5,12491.9,12397.6,12471.3,233488158
2006-12-20,12471.3,12498.5,12456.6,12463.9,193334521
2006-12-21,12461.6,12483.7,12396,12421.2,192124243
2006-12-22,12413.1,12420.2,12341.7,12343.2,143716187
2006-12-26,12341.9,12418.2,12337,12407.6,110202893
2006-12-27,12408.4,12519.2,12407.8,12510.6,143648523
2006-12-28,12510.6,12529.9,12478.1,12501.5,126738532
2006-12-29,12500.5,12526,12451.1,12463.2,161602313
2007-01-03,12459.5,12580.3,12404.8,12474.5,327171668
2007-01-04,12473.2,12510.4,12403.9,12480.7,259066600
2007-01-05,12480,12480.1,12365.4,12398,235162541
2007-01-08,12392,12445.9,12337.4,12423.5,223424410
2007-01-09,12424.8,12466.4,12369.2,12416.6,225187566
2007-01-10,12417,12451.6,12355.6,12442.2,226474933
2007-01-11,12443,12544.5,12443,12515,261633294
2007-01-12,12514.7,12561,12489.7,12556.1,256554364
2007-01-16,12555.8,12585.1,12538.9,12582.6,242770199
2007-01-17,12571.5,12614,12550.5,12577.2,272681991
2007-01-18,12575,12611.9,12547.3,12567.9,250613365
2007-01-19,12567.9,12586.8,12523.5,12565.5,287575354
2007-01-22,12566.3,12572.6,12450.9,12477.2,293407121
2007-01-23,12477.8,12554.2,12468.3,12533.8,236724998
2007-01-24,12534.4,12623.5,12531.1,12621.8,216944482
2007-01-25,12621.8,12622.7,12487.3,12502.5,275798227
2007-01-26,12503.3,12539.1,12431.3,12487,247015959
2007-01-29,12487.1,12542.7,12481.5,12490.8,234425235
2007-01-30,12492.2,12538.5,12459.5,12523.3,244040473
2007-01-31,12520,12657,12505.2,12621.7,258461755
2007-02-01,12617.2,12682.6,12616.1,12673.7,235195909
2007-02-02,12673.8,12683.9,12638.3,12653.5,203669049
